voltage,time
0.5,-0.0013414
0.5,-0.0013412
0.52,-0.001341
0.52,-0.0013408
0.52,-0.0013406
0.52,-0.0013404
0.54,-0.0013402
0.5,-0.00134
0.52,-0.0013398
0.54,-0.0013396
0.52,-0.0013394
0.52,-0.0013392
0.52,-0.001339
0.54,-0.0013388
0.52,-0.0013386
0.54,-0.0013384
0.52,-0.0013382
0.54,-0.001338
0.56,-0.0013378
0.56,-0.0013376
0.54,-0.0013374
0.56,-0.0013372
0.52,-0.001337
0.54,-0.0013368
0.56,-0.0013366
0.56,-0.0013364
0.56,-0.0013362
0.54,-0.001336
0.54,-0.0013358
0.56,-0.0013356
0.58,-0.0013354
0.56,-0.0013352
0.56,-0.001335
0.56,-0.0013348
0.56,-0.0013346
0.56,-0.0013344
0.56,-0.0013342
0.58,-0.001334
0.58,-0.0013338
0.58,-0.0013336
0.58,-0.0013334
0.58,-0.0013332
0.58,-0.001333
0.58,-0.0013328
0.58,-0.0013326
0.6,-0.0013324
0.6,-0.0013322
0.6,-0.001332
0.58,-0.0013318
0.58,-0.0013316
0.58,-0.0013314
0.6,-0.0013312
0.62,-0.001331
0.62,-0.0013308
0.62,-0.0013306
0.6,-0.0013304
0.6,-0.0013302
0.6,-0.00133
0.62,-0.0013298
0.62,-0.0013296
0.62,-0.0013294
0.6,-0.0013292
0.62,-0.001329
0.62,-0.0013288
0.62,-0.0013286
0.6,-0.0013284
0.64,-0.0013282
0.62,-0.001328
0.64,-0.0013278
0.64,-0.0013276
0.62,-0.0013274
0.62,-0.0013272
0.64,-0.001327
0.64,-0.0013268
0.62,-0.0013266
0.64,-0.0013264
0.64,-0.0013262
0.66,-0.001326
0.66,-0.0013258
0.66,-0.0013256
0.66,-0.0013254
0.66,-0.0013252
0.66,-0.001325
0.66,-0.0013248
0.66,-0.0013246
0.66,-0.0013244
0.68,-0.0013242
0.66,-0.001324
0.66,-0.0013238
0.64,-0.0013236
0.66,-0.0013234
0.68,-0.0013232
0.68,-0.001323
0.68,-0.0013228
0.66,-0.0013226
0.68,-0.0013224
0.7,-0.0013222
0.66,-0.001322
0.68,-0.0013218
0.7,-0.0013216
0.7,-0.0013214
0.68,-0.0013212
0.68,-0.001321
0.7,-0.0013208
0.68,-0.0013206
0.7,-0.0013204
0.7,-0.0013202
0.7,-0.00132
0.7,-0.0013198
0.7,-0.0013196
0.7,-0.0013194
0.7,-0.0013192
0.7,-0.001319
0.7,-0.0013188
0.7,-0.0013186
0.72,-0.0013184
0.7,-0.0013182
0.7,-0.001318
0.74,-0.0013178
0.72,-0.0013176
0.72,-0.0013174
0.7,-0.0013172
0.72,-0.001317
0.7,-0.0013168
0.74,-0.0013166
0.72,-0.0013164
0.74,-0.0013162
0.72,-0.001316
0.72,-0.0013158
0.74,-0.0013156
0.72,-0.0013154
0.76,-0.0013152
0.76,-0.001315
0.72,-0.0013148
0.74,-0.0013146
0.76,-0.0013144
0.72,-0.0013142
0.76,-0.001314
0.76,-0.0013138
0.74,-0.0013136
0.74,-0.0013134
0.74,-0.0013132
0.74,-0.001313
0.74,-0.0013128
0.76,-0.0013126
0.74,-0.0013124
0.76,-0.0013122
0.76,-0.001312
0.76,-0.0013118
0.76,-0.0013116
0.76,-0.0013114
0.76,-0.0013112
0.76,-0.001311
0.76,-0.0013108
0.76,-0.0013106
0.78,-0.0013104
0.78,-0.0013102
0.78,-0.00131
0.78,-0.0013098
0.78,-0.0013096
0.8,-0.0013094
0.76,-0.0013092
0.78,-0.001309
0.78,-0.0013088
0.78,-0.0013086
0.8,-0.0013084
0.8,-0.0013082
0.78,-0.001308
0.78,-0.0013078
0.8,-0.0013076
0.8,-0.0013074
0.8,-0.0013072
0.8,-0.001307
0.82,-0.0013068
0.8,-0.0013066
0.82,-0.0013064
0.8,-0.0013062
0.78,-0.001306
0.82,-0.0013058
0.82,-0.0013056
0.8,-0.0013054
0.8,-0.0013052
0.8,-0.001305
0.82,-0.0013048
0.82,-0.0013046
0.82,-0.0013044
0.8,-0.0013042
0.82,-0.001304
0.82,-0.0013038
0.82,-0.0013036
0.82,-0.0013034
0.82,-0.0013032
0.82,-0.001303
0.82,-0.0013028
0.84,-0.0013026
0.82,-0.0013024
0.82,-0.0013022
0.84,-0.001302
0.84,-0.0013018
0.82,-0.0013016
0.84,-0.0013014
0.84,-0.0013012
0.84,-0.001301
0.84,-0.0013008
0.84,-0.0013006
0.84,-0.0013004
0.84,-0.0013002
0.84,-0.0013
0.84,-0.0012998
0.84,-0.0012996
0.86,-0.0012994
0.86,-0.0012992
0.84,-0.001299
0.84,-0.0012988
0.84,-0.0012986
0.86,-0.0012984
0.86,-0.0012982
0.86,-0.001298
0.86,-0.0012978
0.84,-0.0012976
0.84,-0.0012974
0.86,-0.0012972
0.88,-0.001297
0.86,-0.0012968
0.88,-0.0012966
0.88,-0.0012964
0.86,-0.0012962
0.86,-0.001296
0.86,-0.0012958
0.86,-0.0012956
0.86,-0.0012954
0.88,-0.0012952
0.88,-0.001295
0.88,-0.0012948
0.86,-0.0012946
0.86,-0.0012944
0.86,-0.0012942
0.88,-0.001294
0.9,-0.0012938
0.9,-0.0012936
0.88,-0.0012934
0.88,-0.0012932
0.88,-0.001293
0.86,-0.0012928
0.9,-0.0012926
0.9,-0.0012924
0.88,-0.0012922
0.88,-0.001292
0.9,-0.0012918
0.9,-0.0012916
0.9,-0.0012914
0.9,-0.0012912
0.9,-0.001291
0.9,-0.0012908
0.88,-0.0012906
0.92,-0.0012904
0.9,-0.0012902
0.92,-0.00129
0.9,-0.0012898
0.9,-0.0012896
0.9,-0.0012894
0.9,-0.0012892
0.92,-0.001289
0.9,-0.0012888
0.9,-0.0012886
0.92,-0.0012884
0.9,-0.0012882
0.92,-0.001288
0.92,-0.0012878
0.92,-0.0012876
0.92,-0.0012874
0.92,-0.0012872
0.92,-0.001287
0.92,-0.0012868
0.92,-0.0012866
0.92,-0.0012864
0.92,-0.0012862
0.92,-0.001286
0.92,-0.0012858
0.92,-0.0012856
0.92,-0.0012854
0.94,-0.0012852
0.92,-0.001285
0.92,-0.0012848
0.94,-0.0012846
0.92,-0.0012844
0.94,-0.0012842
0.94,-0.001284
0.94,-0.0012838
0.94,-0.0012836
0.94,-0.0012834
0.94,-0.0012832
0.94,-0.001283
0.96,-0.0012828
0.96,-0.0012826
0.94,-0.0012824
0.92,-0.0012822
0.96,-0.001282
0.94,-0.0012818
0.94,-0.0012816
0.96,-0.0012814
0.96,-0.0012812
0.96,-0.001281
0.96,-0.0012808
0.94,-0.0012806
0.96,-0.0012804
0.96,-0.0012802
0.96,-0.00128
0.96,-0.0012798
0.94,-0.0012796
0.96,-0.0012794
0.96,-0.0012792
0.96,-0.001279
0.96,-0.0012788
0.98,-0.0012786
0.98,-0.0012784
0.96,-0.0012782
0.96,-0.001278
0.96,-0.0012778
0.98,-0.0012776
0.96,-0.0012774
0.98,-0.0012772
1,-0.001277
0.98,-0.0012768
0.98,-0.0012766
0.98,-0.0012764
0.98,-0.0012762
0.96,-0.001276
0.98,-0.0012758
0.98,-0.0012756
0.96,-0.0012754
0.98,-0.0012752
0.98,-0.001275
0.98,-0.0012748
0.98,-0.0012746
1,-0.0012744
0.98,-0.0012742
1,-0.001274
0.98,-0.0012738
1,-0.0012736
0.98,-0.0012734
1,-0.0012732
1,-0.001273
1,-0.0012728
1,-0.0012726
1,-0.0012724
0.98,-0.0012722
0.98,-0.001272
0.98,-0.0012718
1,-0.0012716
1,-0.0012714
0.98,-0.0012712
1,-0.001271
1,-0.0012708
1,-0.0012706
1,-0.0012704
1,-0.0012702
1.02,-0.00127
1,-0.0012698
1,-0.0012696
1,-0.0012694
1,-0.0012692
1,-0.001269
1,-0.0012688
0.98,-0.0012686
1,-0.0012684
1.02,-0.0012682
1.02,-0.001268
1,-0.0012678
1,-0.0012676
1.02,-0.0012674
1,-0.0012672
1.02,-0.001267
1,-0.0012668
1,-0.0012666
1,-0.0012664
1.02,-0.0012662
1.02,-0.001266
1.02,-0.0012658
1,-0.0012656
1.04,-0.0012654
1.02,-0.0012652
1.02,-0.001265
1.02,-0.0012648
1.02,-0.0012646
1.02,-0.0012644
1.02,-0.0012642
1.04,-0.001264
1.02,-0.0012638
1.02,-0.0012636
1.02,-0.0012634
1.04,-0.0012632
1.02,-0.001263
1.02,-0.0012628
1.04,-0.0012626
1.02,-0.0012624
1.04,-0.0012622
1.04,-0.001262
1.02,-0.0012618
1.02,-0.0012616
1.04,-0.0012614
1.04,-0.0012612
1.02,-0.001261
1.04,-0.0012608
1.02,-0.0012606
1.02,-0.0012604
1.02,-0.0012602
1.02,-0.00126
1.04,-0.0012598
1.02,-0.0012596
1.04,-0.0012594
1.04,-0.0012592
1.04,-0.001259
1.02,-0.0012588
1.04,-0.0012586
1.02,-0.0012584
1.04,-0.0012582
1.04,-0.001258
1.04,-0.0012578
1.06,-0.0012576
1.04,-0.0012574
1.04,-0.0012572
1.04,-0.001257
1.04,-0.0012568
1.04,-0.0012566
1.04,-0.0012564
1.06,-0.0012562
1.04,-0.001256
1.04,-0.0012558
1.04,-0.0012556
1.04,-0.0012554
1.02,-0.0012552
1.06,-0.001255
1.06,-0.0012548
1.04,-0.0012546
1.04,-0.0012544
1.04,-0.0012542
1.02,-0.001254
1.04,-0.0012538
1.02,-0.0012536
1.04,-0.0012534
1.06,-0.0012532
